idEuropeanRegion,Name,Type,Country,OtherRegion,idCountry,idTerritory
1,Andreas,Parish,"Isle of Man",NULL,NULL,29
2,"Arbory and Rushen",Parish,"Isle of Man","["Arbrory", "Rushen"]",NULL,29
3,Ballaugh,Parish,"Isle of Man",NULL,NULL,29
4,Braddan,Parish,"Isle of Man",NULL,NULL,29
5,Bride,Parish,"Isle of Man",NULL,NULL,29
6,Castletown,Town,"Isle of Man",NULL,NULL,29
7,Douglas,Town,"Isle of Man",NULL,NULL,29
8,Garff,Parish,"Isle of Man","["Laxey", "Lonan", "Maughold"]",NULL,29
9,German,Parish,"Isle of Man",NULL,NULL,29
10,Jurby,Parish,"Isle of Man",NULL,NULL,29
11,Lezayre,Parish,"Isle of Man",NULL,NULL,29
12,Malew,Parish,"Isle of Man",NULL,NULL,29
13,Marown,Parish,"Isle of Man",NULL,NULL,29
14,Michael,District,"Isle of Man",NULL,NULL,29
15,Onchan,District,"Isle of Man",NULL,NULL,29
16,Patrick,Parish,"Isle of Man",NULL,NULL,29
17,Peel,Town,"Isle of Man",NULL,NULL,29
18,"Port Erin",Village,"Isle of Man",NULL,NULL,29
19,"Port Saint Mary",Village,"Isle of Man",NULL,NULL,29
20,Ramsey,Town,"Isle of Man",NULL,NULL,29
21,Santon,Parish,"Isle of Man",NULL,NULL,29
22,"Bath and North East Somerset","Unitary Authority",England,"["Somerset"]",186,NULL
23,Bedford,"Unitary Authority",England,"["Bedfordshire"]",186,NULL
24,"Blackburn with Darwen","Unitary Authority",England,"["Lancashire"]",186,NULL
25,Blackpool,"Unitary Authority",England,"["Lancashire"]",186,NULL
26,"Bournemouth, Christchurch and Poole","Unitary Authority",England,"["Dorset"]",186,NULL
27,"Bracknell Forest","Unitary Authority",England,"["Berkshire"]",186,NULL
28,"Brighton and Hove","Unitary Authority",England,"["East Sussex"]",186,NULL
29,Bristol,"County and Unitary Authority",England,"["Bristol"]",186,NULL
30,Buckinghamshire,"Unitary Authority",England,"["Buckinghamshire"]",186,NULL
31,Cambridgeshire,County,England,"["Cambridgeshire"]",186,NULL
32,"Central Bedfordshire","Unitary Authority",England,"["Bedfordshire"]",186,NULL
33,"Cheshire East","Unitary Authority",England,"["Cheshire"]",186,NULL
34,"Cheshire West and Chester","Unitary Authority",England,"["Cheshire"]",186,NULL
35,"City of London",County,England,"["City of London"]",186,NULL
36,Cornwall,"Unitary Authority",England,"["Cornwall"]",186,NULL
37,"County Durham","Unitary Authority",England,"["Durham"]",186,NULL
38,Cumberland,"Unitary Authority",England,"["Cumbria"]",186,NULL
39,Darlington,"Unitary Authority",England,"["Durham"]",186,NULL
40,Derby,"Unitary Authority",England,"["Derbyshire"]",186,NULL
41,Derbyshire,County,England,"["Derbyshire"]",186,NULL
42,Devon,County,England,"["Devon"]",186,NULL
43,Dorset,County,England,"["Dorset"]",186,NULL
44,"East Riding of Yorkshire","Unitary Authority",England,"["East Riding of Yorkshire"]",186,NULL
45,"East Sussex",County,England,"["East Sussex"]",186,NULL
46,Essex,County,England,"["Essex"]",186,NULL
47,Gloucestershire,County,England,"["Gloucestershire"]",186,NULL
48,"Greater London",County,England,"["Greater London"]",186,NULL
49,"Greater Manchester",County,England,"["Greater London"]",186,NULL
50,Halton,"Unitary Authority",England,"["Cheshire"]",186,NULL
51,Hampshire,County,England,"["Hampshire"]",186,NULL
52,Hartlepool,"Unitary Authority",England,"["Durham"]",186,NULL
53,Herefordshire,"County and Unitary Authority",England,"["Herefordshire"]",186,NULL
54,Hertfordshire,County,England,"["Hertfordshire"]",186,NULL
55,"Isle of Wight","County and Unitary Authority",England,"["Isle of Wight"]",186,NULL
56,"Isles of Scilly","Sui Generis Unitary Authority",England,"["Cornwall"]",186,NULL
57,Kent,County,England,"["Kent"]",186,NULL
58,"Kingston upon Hull","Unitary Authority",England,"["East Riding of Yorkshire"]",186,NULL
59,Lancashire,County,England,"["Lancashire"]",186,NULL
60,Leicester,"Unitary Authority",England,"["Leicestershire"]",186,NULL
61,Leicestershire,County,England,"["Leicestershire"]",186,NULL
62,Lincolnshire,County,England,"["Lincolnshire"]",186,NULL
63,Luton,"Unitary Authority",England,"["Bedfordshire"]",186,NULL
64,Medway,"Unitary Authority",England,"["Kent"]",186,NULL
65,Merseyside,County,England,"["Merseyside"]",186,NULL
66,Middlesbrough,"Unitary Authority",England,"["North Yorkshire"]",186,NULL
67,"Milton Keynes","Unitary Authority",England,"["Buckinghamshire"]",186,NULL
68,Norfolk,County,England,"["Norfolk"]",186,NULL
69,"North East Lincolnshire","Unitary Authority",England,"["Lincolnshire"]",186,NULL
70,"North Lincolnshire","Unitary Authority",England,"["Lincolnshire"]",186,NULL
71,"North Northamptonshire","Unitary Authority",England,"["Northamptonshire"]",186,NULL
72,"North Somerset","Unitary Authority",England,"["Somerset"]",186,NULL
73,"North Yorkshire","Unitary Authority",England,"["North Yorkshire"]",186,NULL
74,Northumberland,"County and Unitary Authority",England,"["Northumberland"]",186,NULL
75,Nottingham,"Unitary Authority",England,"["Nottinghamshire"]",186,NULL
76,Nottinghamshire,County,England,"["Nottinghamshire"]",186,NULL
77,Oxfordshire,County,England,"["Oxfordshire"]",186,NULL
78,Peterborough,"Unitary Authority",England,"["Cambridgeshire"]",186,NULL
79,Plymouth,"Unitary Authority",England,"["Devon"]",186,NULL
80,Portsmouth,"Unitary Authority",England,"["Hampshire"]",186,NULL
81,"Redcar and Cleveland","Unitary Authority",England,"["North Yorkshire"]",186,NULL
82,Reading,"Unitary Authority",England,"["Berkshire"]",186,NULL
83,Rutland,"County and Unitary Authority",England,"["Rutland"]",186,NULL
84,Shropshire,"Unitary Authority",England,"["Shropshire"]",186,NULL
85,Slough,"Unitary Authority",England,"["Berkshire"]",186,NULL
86,Somerset,"Unitary Authority",England,"["Somerset"]",186,NULL
87,"South Gloucestershire","Unitary Authority",England,"["Gloucestershire"]",186,NULL
88,"South Yorkshire",County,England,"["South Yorkshire"]",186,NULL
89,Southend-on-Sea,"Unitary Authority",England,"["Essex"]",186,NULL
90,Southampton,"Unitary Authority",England,"["Hampshire"]",186,NULL
91,Staffordshire,County,England,"["Staffordshire"]",186,NULL
92,Stockton-on-Tees,"Unitary Authority",England,"["Durham", "North Yorkshire"]",186,NULL
93,Stoke-on-Trent,"Unitary Authority",England,"["Staffordshire"]",186,NULL
94,Suffolk,County,England,"["Suffolk"]",186,NULL
95,Surrey,County,England,"["Surrey"]",186,NULL
96,Swindon,"Unitary Authority",England,"["Wiltshire"]",186,NULL
97,"Telford and Wrekin","Unitary Authority",England,"["Shropshire"]",186,NULL
98,Thurrock,"Unitary Authority",England,"["Essex"]",186,NULL
99,Torbay,"Unitary Authority",England,"["Devon"]",186,NULL
100,"Tyne and Wear",County,England,"["Tyne and Wear"]",186,NULL
101,Warrington,"Unitary Authority",England,"["Cheshire"]",186,NULL
102,Warwickshire,County,England,"["Warwickshire"]",186,NULL
103,"West Berkshire","Unitary Authority",England,"["Berkshire"]",186,NULL
104,"West Midlands",County,England,"["West Midlands"]",186,NULL
105,"West Northamptonshire","Unitary Authority",England,"["Northamptonshire"]",186,NULL
106,"West Sussex",County,England,"["West Sussex"]",186,NULL
107,"West Yorkshire",County,England,"["West Yorkshire"]",186,NULL
108,"Westmorland and Furness","Unitary Authority",England,"["Cumbria"]",186,NULL
109,Wiltshire,"Unitary Authority",England,"["Wiltshire"]",186,NULL
110,"Windsor and Maidenhead","Unitary Authority",England,"["Berkshire"]",186,NULL
111,Wokingham,"Unitary Authority",England,"["Berkshire"]",186,NULL
112,Worcestershire,County,England,"["Worcestershire"]",186,NULL
113,York,"Unitary Authority",England,"["North Yorkshire"]",186,NULL
114,"Aberdeen City","Council Area",Scotland,"["Aberdeenshire"]",186,NULL
115,Aberdeenshire,"Council Area",Scotland,"["Aberdeenshire", "Banffshire", "Kincardineshire"]",186,NULL
116,Angus,"Council Area",Scotland,"["Angus"]",186,NULL
117,"Argyll and Bute","Council Area",Scotland,"["Argyll", "Buteshire", "Dunbartonshire"]",186,NULL
118,Clackmannanshire,"Council Area",Scotland,"["Clackmannanshire"]",186,NULL
119,"Dumfries and Galloway","Council Area",Scotland,"["Dumfriesshire", "Kirkcudbrightshire", "Wigtownshire"]",186,NULL
120,"Dundee City","Council Area",Scotland,"["Angus"]",186,NULL
121,"East Ayrshire","Council Area",Scotland,"["Ayrshire"]",186,NULL
122,"East Dunbartonshire","Council Area",Scotland,"["Dunbartonshire", "Lanarkshire", "Stirlingshire"]",186,NULL
123,"East Lothian","Council Area",Scotland,"["East Lothian", "Midlothian"]",186,NULL
124,"East Renfrewshire","Council Area",Scotland,"["Renfrewshire"]",186,NULL
125,"City of Edinburgh","Council Area",Scotland,"["Midlothian", "West Lothian"]",186,NULL
126,Falkirk,"Council Area",Scotland,"["Stirlingshire", "West Lothian"]",186,NULL
127,Fife,"Council Area",Scotland,"["Fife"]",186,NULL
128,"Glasgow City","Council Area",Scotland,"["Lanarkshire"]",186,NULL
129,Highland,"Council Area",Scotland,"["Argyll", "Caithness", "Inverness-shire", "Moray", "Nairnshire", "Ross and Cromarty", "Sutherland"]",186,NULL
130,Inverclyde,"Council Area",Scotland,"["Renfrewshire"]",186,NULL
131,Moray,"Council Area",Scotland,"["Banffshire", "Moray"]",186,NULL
132,Midlothian,"Council Area",Scotland,"["Midlothian"]",186,NULL
133,"North Ayrshire","Council Area",Scotland,"["Ayrshire", "Buteshire"]",186,NULL
134,"North Lanarkshire","Council Area",Scotland,"["Dunbartonshire", "Lanarkshire", "Stirlingshire"]",186,NULL
135,"Orkney Islands","Council Area",Scotland,"["Orkney"]",186,NULL
136,"Na h-Eileanan Siar","Council Area",Scotland,"["Inverness-shire", "Ross and Cromarty"]",186,NULL
137,"Perth and Kinross","Council Area",Scotland,"["Kinross-shire", "Perthshire"]",186,NULL
138,Renfrewshire,"Council Area",Scotland,"["Renfrewshire"]",186,NULL
139,"Scottish Borders","Council Area",Scotland,"["Berwickshire", "East Lothian", "Midlothian", "Peebles", "Roxburghshire", "Selkirkshire"]",186,NULL
140,"Shetland Islands","Council Area",Scotland,"["Zetland"]",186,NULL
141,"South Ayrshire","Council Area",Scotland,"["Ayrshire"]",186,NULL
142,"South Lanarkshire","Council Area",Scotland,"["Lanarkshire"]",186,NULL
143,Stirling,"Council Area",Scotland,"["Perthshire", "Stirlingshire"]",186,NULL
144,"West Dunbartonshire","Council Area",Scotland,"["Dunbartonshire"]",186,NULL
145,"West Lothian","Council Area",Scotland,"["Midlothian", "West Lothian"]",186,NULL
146,"Blaenau Gwent","County Borough",Wales,"["Gwent"]",186,NULL
147,Bridgend,"County Borough",Wales,"["Mid Glamorgan"]",186,NULL
148,Caerphilly,"County Borough",Wales,"["Gwent"]",186,NULL
149,Cardiff,County,Wales,"["South Glamorgan"]",186,NULL
150,Carmarthenshire,County,Wales,"["Dyfed"]",186,NULL
151,Ceredigion,County,Wales,"["Dyfed"]",186,NULL
152,Conwy,"County Borough",Wales,"["Clwyd"]",186,NULL
153,Denbighshire,County,Wales,"["Clwyd"]",186,NULL
154,Flintshire,County,Wales,"["Clwyd"]",186,NULL
155,"Isle of Anglesey",County,Wales,"["Gwynedd"]",186,NULL
156,"Merthyr Tydfil","County Borough",Wales,"["Mid Glamorgan"]",186,NULL
157,Monmouthshire,County,Wales,"["Gwent"]",186,NULL
158,"Neath Port Talbot","County Borough",Wales,"["West Glamorgan"]",186,NULL
159,Newport,"County Borough",Wales,"["Gwent"]",186,NULL
160,Pembrokeshire,County,Wales,"["Dyfed"]",186,NULL
161,Powys,County,Wales,"["Powys"]",186,NULL
162,"Rhondda Cynon Taf","County Borough",Wales,"["Mid Glamorgan"]",186,NULL
163,Swansea,County,Wales,"["West Glamorgan"]",186,NULL
164,Torfaen,"County Borough",Wales,"["Gwent"]",186,NULL
165,"Vale of Glamorgan","County Borough",Wales,"["South Glamorgan"]",186,NULL
166,Wrexham,"County Borough",Wales,"["Clwyd"]",186,NULL
167,Carlow,County,Ireland,NULL,80,NULL
168,Cavan,County,Ireland,NULL,80,NULL
169,Clare,County,Ireland,NULL,80,NULL
170,Cork,County,Ireland,NULL,80,NULL
171,Donegal,County,Ireland,NULL,80,NULL
172,Dublin,County,Ireland,NULL,80,NULL
173,Galway,County,Ireland,NULL,80,NULL
174,Kerry,County,Ireland,NULL,80,NULL
175,Kildare,County,Ireland,NULL,80,NULL
176,Kilkenny,County,Ireland,NULL,80,NULL
177,Laois,County,Ireland,NULL,80,NULL
178,Leitrim,County,Ireland,NULL,80,NULL
179,Limerick,County,Ireland,NULL,80,NULL
180,Longford,County,Ireland,NULL,80,NULL
181,Louth,County,Ireland,NULL,80,NULL
182,Mayo,County,Ireland,NULL,80,NULL
183,Meath,County,Ireland,NULL,80,NULL
184,Monaghan,County,Ireland,NULL,80,NULL
185,Offaly,County,Ireland,NULL,80,NULL
186,Roscommon,County,Ireland,NULL,80,NULL
187,Sligo,County,Ireland,NULL,80,NULL
188,Tipperary,County,Ireland,NULL,80,NULL
189,Waterford,County,Ireland,NULL,80,NULL
190,Westmeath,County,Ireland,NULL,80,NULL
191,Wexford,County,Ireland,NULL,80,NULL
192,Wicklow,County,Ireland,NULL,80,NULL
193,"Antrim and Newtownabbey",District,"Northern Ireland","["Antrim"]",186,NULL
194,"Ards and North Down",District,"Northern Ireland","["Down"]",186,NULL
195,"Armagh City, Banbridge and Craigavon",District,"Northern Ireland","["Armagh", "Down"]",186,NULL
196,Belfast,District,"Northern Ireland","["Antrim"]",186,NULL
197,"Causeway Coast and Glens",District,"Northern Ireland","["Antrim", "Derry"]",186,NULL
198,"Derry City and Strabane",District,"Northern Ireland","["Derry", "Tyrone"]",186,NULL
199,"Fermanagh and Omagh",District,"Northern Ireland","["Fermanagh", "Tyrone"]",186,NULL
200,"Lisburn and Castlereagh",District,"Northern Ireland","["Antrim", "Down"]",186,NULL
201,"Mid and East Antrim",District,"Northern Ireland","["Antrim"]",186,NULL
202,"Mid Ulster",District,"Northern Ireland","["Derry", "Tyrone"]",186,NULL
203,"Newry, Mourne and Down",District,"Northern Ireland","["Armagh", "Down"]",186,NULL
204,Grouville,Parish,Jersey,NULL,NULL,31
205,"Saint Brélade",Parish,Jersey,NULL,NULL,31
206,"Saint Clement",Parish,Jersey,NULL,NULL,31
207,"Saint Helier",Parish,Jersey,NULL,NULL,31
208,"Saint John",Parish,Jersey,NULL,NULL,31
209,"Saint Lawrence",Parish,Jersey,NULL,NULL,31
210,"Saint Martin, JE",Parish,Jersey,NULL,NULL,31
211,"Saint Mary",Parish,Jersey,NULL,NULL,31
212,"Saint Ouen",Parish,Jersey,NULL,NULL,31
213,"Saint Peter",Parish,Jersey,NULL,NULL,31
214,"Saint Saviour, JE",Parish,Jersey,NULL,NULL,31
215,Trinity,Parish,Jersey,NULL,NULL,31
216,Castel,Parish,Guernsey,"["Guernsey"]",NULL,26
217,Forest,Parish,Guernsey,"["Guernsey"]",NULL,26
218,"Saint Andrew",Parish,Guernsey,"["Guernsey"]",NULL,26
219,Alderney,Parish,Guernsey,"["Alderney"]",NULL,26
220,"Saint Martin, GG",Parish,Guernsey,"["Guernsey"]",NULL,26
221,"Saint Peter Port",Parish,Guernsey,"["Guernsey"]",NULL,26
222,Sark,Parish,Guernsey,"["Sark"]",NULL,26
223,"Saint Pierre du Bois",Parish,Guernsey,"["Guernsey"]",NULL,26
224,"Saint Sampson",Parish,Guernsey,"["Guernsey"]",NULL,26
225,"Saint Saviour, GG",Parish,Guernsey,"["Guernsey"]",NULL,26
226,Torteval,Parish,Guernsey,"["Guernsey"]",NULL,26
227,Vale,Parish,Guernsey,"["Guernsey"]",NULL,26
228,Gwynedd,County,Wales,"["Gwynedd"]",186,NULL
230,Auvergne-Rhône-Alpes,Region,France,"["Ain", "Allier", "Ardèche", "Cantal", "Drôme", "Isère", "Loire", "Haute-Loire", "Puy-de-Dôme", "Rhône", "Savoie", "Haute-Savoie"]",60,NULL
231,Bourgogne-Franche-Comté,Region,France,"["Côte-d'Or", "Doubs", "Jura, FR", "Nièvre", "Haute-Saône", "Saône-et-Loire", "Yonne", "Territoire de Belfort"]",60,NULL
232,"Centre-Val de Loire",Region,France,"["Cher", "Eure-et-Loir", "Indre", "Indre-et-Loire", "Loir-et-Cher", "Loiret"]",60,NULL
233,"Grand Est",Region,France,"["Ardennes", "Aube", "Marne", "Haute-Marne", "Meurthe-et-Moselle", "Meuse", "Moselle", "Bas-Rhin", "Haut-Rhin", "Vosges"]",60,NULL
234,Guadeloupe,Region,France,NULL,60,NULL
235,Hauts-de-France,Region,France,"["Aisne", "Nord", "Oise", "Pas-de-Calais", "Somme"]",60,NULL
236,Île-de-France,Region,France,"["Paris", "Seine-et-Marne", "Yvelines", "Essonne", "Hauts-de-Seine", "Seine-Saint-Denis", "Val-de-Marne", "Val-d'Oise"]",60,NULL
237,Martinique,Region,France,NULL,60,NULL
238,Mayotte,Region,France,NULL,60,NULL
239,Nouvelle-Aquitaine,Region,France,"["Charente", "Charente-Maritime", "Corrèze", "Creuse", "Dordogne", "Gironde", "Landes", "Lot-et-Garonne", "Pyrénées-Atlantiques", "Deux-Sèvres", "Vienne", "Haute-Vienne"]",60,NULL
240,"Pays de la Loire",Region,France,"["Loire-Atlantique", "Maine-et-Loire", "Mayenne", "Sarthe", "Vendée"]",60,NULL
241,"Provence-Alpes-Côte d'Azur",Region,France,"["Alpes-de-Haute-Provence", "Hautes-Alpes", "Alpes-Maritimes", "Bouches-du-Rhône", "Var", "Vaucluse"]",60,NULL
242,Bretagne,Region,France,"["Côtes-d'Armor", "Finistère", "Ille-et-Vilaine", "Morbihan"]",60,NULL
243,Corse,Region,France,"["Corse-du-Sud", "Haute-Corse"]",60,NULL
